,ReviewID,Cochrane_Title
32,CD004857,"Bipolar I and II disorder residual symptoms: Oxcarbazepine and carbamazepine as add-on treatment to lithium in a double-blind, randomized trial"
33,CD005067,A double-blind study on the efficacy of oral dapsone in cutaneous leishmaniasis
34,CD000020,The antepartum use of anti-D immunoglobulin in rhesus negative women. Parallel evaluation of fetal blood cells passing through the placenta. The results of a multi-centre study carried out in the region of Paris
35,CD005482,"A prospective, randomized trial of structured treatment interruption for patients with chronic HIV type 1 infection"
36,CD006134,Comparison of low-dose monophasic oral contraceptive pills and expectant management in treatment of functional ovarian cysts
37,CD003959,Protein requirements in preterm infants: effect of different levels of protein intake on growth and body composition
38,CD009192,Telephone vs. face-to-face notification of HIV results in high-risk youth
39,CD001537,Intravenous methylprednisolone pulse therapy in minimal change nephrotic syndrome
40,CD002218,The effect of long-term intermittent trimethoprim/sulfamethoxazole treatment on recurrences of toxoplasmic retinochoroiditis
41,CD002114,A prospective trial comparing interferential therapy and treatment using cones in patients with symptoms of stress incontinence. Abstract 73
42,CD007148,"Preoperative epoeitin alfa in colorectal surgery: a randomized, controlled study"
43,CD009012,Early versus delayed initiation of antiretroviral therapy for concurrent HIV infection and Cryptococcal meningitis in Sub-Saharan Africa
44,CD006484,Influenza immunization in immunosuppressed children
45,CD004338,Randomised trial of erythromycin on the development of chronic lung disease in preterm infants
46,CD003826,Topical silicone gel: a new treatment for hypertrophic scars
47,CD001131,Intrathecal baclofen for severe spinal spasticity
48,CD001943,Loxapine succinate: a controlled double-blind study in chronic schizophrenia
49,CD006517,A randomized trial to evaluate continuation versus discontinuation of lamivudine in individuals failing a lamivudine-containing regimen: the COLATE trial
50,CD004544,Randomized study comparing banding and propranolol to prevent initial variceal hemorrhage in cirrhotics with high-risk esophageal varices
51,CD003489,A trial of chemoprophylaxis in sickle-cell anaemia
52,CD001180,"The use of therapeutic ultrasound in venous leg ulcers: a randomized, controlled clinical trial"
53,CD004908,Comparison of postpartum pain treatments using a sequential trial design. II. Naproxen verus paracetamol
54,CD001275,Comparison of ultrasound/ultraviolet-C and laser for treatment of pressure ulcers in patients with spinal cord injury
55,CD007058,Predictive value of ultrasound measurement in early pregnancy: a randomized controlled trial
56,CD003945,"Divalproex sodium in nursing home residents with possible or probable Alzheimer Disease complicated by agitation: a randomized, controlled trial"
57,CD002240,"Behavioral therapy for childhood constipation: a randomized, controlled trial"
58,CD008099,"The additive analgesic efficacy of acetaminophen, 1000 mg, and codeine, 60 mg, in dental pain"
59,CD000013,"Prophylactic amnioinfusion as a treatment for oligohydramnios in laboring patients: a prospective, randomized trial"
60,CD005458,"Course and treatment of milk stasis, noninfectious inflammation of the breast, and infectious mastitis in nursing women"
61,CD006726,EMDR treatment for children with PTSD: results of a randomized controlled trial
62,CD002279,Results of the Sherbrooke-Lac Megantic fluoride varnish study after 20 months
63,CD000952,"Effect of oral 1,25-dihydroxyvitamin D and calcium on glucocorticoid-induced osteopenia in patients with rheumatic diseases"
64,CD004027,A double blind comparison of fluphenazine and haloperidol in outpatient schizophrenic children
65,CD001803,ANCA Trial - randomised controlled trial of antenatal day assessment for management of hypertension
66,CD000161,Prospective randomised study of X-ray pelvimetry in the primigravida
67,CD006173,"A randomized, double-blinded, placebo controlled trial of oxytocin at the beginning versus the end of the third stage of labor for prevention of postpartum hemorrhage"
68,CD002215,Introducing fees for services with professional uncertainty
69,CD003571,Beneficial effects of helium:oxygen versus air:oxygen noninvasive pressure support in patients with decompensated chronic obstructive pulmonary disease
70,CD001526,Bilateral orchidectomy and flutamide versus orchidectomy alone in newly diagnosed paptients with metastatic carcinoma of the prostate-an Australian multicentre trial
71,CD000179,Effects of an antenatal load of pyridoxine (Vitamin B6) on the blood oxygen affinity and prolactin levels in newborn infants and their mothers
72,CD004282,A randomized clinical trial of home nursing care for lung cancer patients
73,CD007617,A psycho-educational intervention for family caregivers of patients receiving palliative care: a randomised controlled trial
74,CD004887,"Recombinant factor VIIa for variceal bleeding in patients with advanced cirrhosis: A randomized, controlled trial"
75,CD003525,"Surgical treatment of resistant tennis elbow. A prospective, randomised study comparing decompression of the posterior interosseous nerve and lengthening of the tendon of the extensor carpi radialis brevis muscle"
76,CD000239,A randomized comparison of fluconazole with amphotericin B as empiric anti-fungal agents in cancer patients with prolonged fever and neutropenia
77,CD002954,Discoid lupus erythematosus. Diagnostic features and evaluation of topical corticosteroid therapy
78,CD000520,A controlled trial of gold salt therapy in rheumatoid arthritis
79,CD004981,Randomised comparison of manual compression repair versus ultrasound guided compression repair of postcatheterisation femoral pseudoaneurysms
80,CD002178,Methylprednisolone therapy for acute asthma in infants and toddlers: A controlled clinical trial
81,CD001457,A randomised controlled trial of glutamine-enriched neonatal parenteral nutrition in Malaysia
82,CD008567,"A randomized trial of medical care management for community mental health settings: the primary care access, referral, and evaluation (PCARE) study"
83,CD001798,Guillain Barré syndrome: quantitative measurement of plasma exchange therapy
84,CD008605,Dopamine agonist cabergoline reduces hemoconcentration and ascites in hyperstimulated women undergoing assisted reproduction
85,CD004983,Is tap water a safe alternative to normal saline for wound irrigation in the community setting?
86,CD006283,Role of Kabat physical rehabilitation in Bell's palsy: a randomized trial
87,CD008728,"Exercise leads to faster postural reflexes, improved balance and mobility, and fewer falls in older persons with chronic stroke"
88,CD003340,Emergence of ciprofloxacin resistance in nosocomial methicillin-resistance Staphylococcus aureus isolates
89,CD005547,Lack of risk of adverse birth outcomes after deworming in pregnant women
90,CD004424,Prophylactic anticonvulsants in patients with brain tumour
91,CD002197,Prospective randomized controlled trial comparing Lichtenstein with modified Bassini repair of inguinal hernia
92,CD003850,Comparison of fluconazole and nystatin oral suspensions for prophylaxis of systemic fungal infection in very low birthweight infants
93,CD003573,A pilot study comparing substitutable care at home with usual hospital care for acute chronic obstructive pulmonary disease (COPD)
94,CD002306,Resource use and quality of life of olanzapine compared with risperidone: results from an international randomized clinical trial
95,CD001843,Contribution of early intensive prolonged pelvic floor exercises on urinary continence recovery after bladder neck-sparing radical prostatectomy: results of a prospective controlled randomized trial
96,CD001751,Dynamics and significance of placebo response in primary dysmenorrhea
97,CD005317,Donepezil in the prevention and treatment of post-surgical delirium
98,CD005959,Comparison of the use of the humerus intramedullary nail and dynamic compression plate for the management of diaphyseal fractures of the humerus. A randomised controlled study
99,CD006706,"Acyclovir given as prophylaxis against oral ulcers in acute myeloid leukaemia: randomised, double blind, placebo controlled trial"
100,CD002303,Risk factors for leg ulcer recurrence: A randomized trial of two types of compression stocking
101,CD005015,Preventing bone loss in renal transplant recipients with vitamin D
102,CD009039,"The Canadian optimal therapy of COPD trial: Design, organization and patient recruitment"
103,CD002265,Controlled clinical trial of IV cyclophosphamide versus IV methylprednisolone in severe neurological manifestations in systemic lupus erythematous
104,CD004534,"An evaluation of Safe Dates, an adolescent dating violence prevention program"
105,CD003452,Maxillary and cranial base changes during treatment with functional appliances
106,CD002884,The utility of albuterol nebulized with heliox during acute asthma exacerbations
107,CD006850,The effect of rigid versus flexible spinal orthosis on the clinical efficacy and acceptance of the patients with adolescent idiopathic scoliosis
108,CD003518,After spontaneous abortion - surgical revision or not?
109,CD006202,Comparative clinical investigation of the tooth whitening efficacy of two tooth whitening gels
110,CD008726,Antibiotic prophylaxis at cesarean delivery
111,CD008397,Early loading of hydroxyapatite coated implants in the atrophic posterior maxilla: lateral sinus lift with autogenous bone and Bio-Oss versus crestal mini-sinus lift and 8 mm implants. A randomized controlled clinical trial
112,CD003309,The effects of shallow versus deep endotracheal suctioning on the cytological components of respiratory aspirates in high-risk infants
113,CD008154,A randomized controlled trial on pharmacological preconditioning in liver surgery using a volatile anesthetic
114,MR000008,Effect of a monetary incentive on response to a mail survey
115,CD007501,Reduction in HIV risk among runaway youth
116,CD005049,Symptoms at the time of arrhythmia recurrence in patients receiving azimilide for control of atrial fibrillation or flutter: results from randomized trials
117,CD004523,A 2-year phase II study with 1-year of follow-up of risedronate (NE-58095) in postmenopausal osteoporosis
118,CD004954,A pilot study of hyperbaric oxygen in the treatment of human stroke
119,CD004322,"Double-Blind, Placebo-Controlled Evaluation of Clinical Activity and Safety of Daflon 500 mg in the Treatment of Acute Hemorrhoids"
120,CD003474,Reduction in new metastases in breast cancer with adjuvant clodronate treatment
121,CD007037,Propranolol treatment of congestive heart failure in infants with congenital heart disease: The CHF-PRO-INFANT Trial. Congestive heart failure in infants treated with propanol
122,CD008351,Flutter valve improves respiratory mechanics and sputum production in patients with bronchiectasis
123,CD002113,Prompted voiding treatment of urinary incontinence in nursing home patients. A behavior management approach for nursing home staff
124,CD000048,The use of caffeine in the control of post-anesthetic apnea in former premature infants
125,CD007960,The value of carbamazepine in the treatment of tinnitus
126,CD005257,Glucose and insulin versus cation-exchange resin for the treatment of hyperkalemia in very low birth weight infants
127,CD000068,Placebo-controlled comparison of danazol and high-dose medroxyprogesterone acetate in the treatment of endometriosis after conservative surgery
128,CD002047,Treatment with leflunomide slows radiographic progression of rheumatoid arthritis
129,CD001340,Extracoporeal membrane oxygenation and conventional medical therapy in neonates with persistent pulmonary hypertension of the newborn: A prospective randomized study
130,CD005175,"Short-term effects of cannabinoids in patients with HIV-1 infection: a randomised, placebo controlled trial"
131,CD003351,Intrathecal ketamine reduces morphine requirements in patients with terminal cancer pain
132,CD003052,A prospective randomized trial of artificial insemination versus intercourse in cycles stimulated with human menopausal gonadotropin or clomiphene citrate
133,CD001005,"Education of adult patients at an ""asthma school"": effects on quality of life, knowledge and need for nursing"
134,CD007132,A quality improvement intervention to increase palliative care in nursing homes
135,CD005401,Trends in pediatric and adult bicycling deaths before and after passage of a bicycle helmet law
136,CD001153,Effect of mannitol on regional cerebral blood flow in patients with intracerebral hemorrhage
137,CD009670,Adherence to varenicline in the COMPASS smoking cessation intervention trial
138,CD003974,Effect and placebo effect of acupressure (P6) on nausea and vomiting after outpatient gynaecological surgery
139,CD006858,The research design and methodological issues for the cash and counseling evaluation
140,CD002125,Hydrosalpinx and IVF outcome: a prospective randomized multicentre trial in Scandinavia on salpingectomy prior to IVF
141,CD005989,Tylophora indica in bronchial asthma a controlled comparison with a standard anti-asthmatic drug
142,CD004431,"Computer-aided retraining of memory and attention in people with multiple sclerosis: a randomized, double-blind controlled trial"
143,CD006886,Smoking cessation and severity of disease: the Coronary Artery Smoking Intervention Study
144,CD003080,An economic analysis of psychosocial rehabilitation
145,CD006609,Manual stretch: effect on finger movement control and force control in stroke subjects with spastic extrinsic finger flexor muscles
146,CD004677,Lack of efficacy of citalopram in children with autism spectrum disorders and high levels of repetitive behavior
147,CD000155,Ovarian suppression induced with buserelin or danazol in the management of endometriosis: A randomized comparative study
148,CD001026,"Short-term cotherapy with clonazepam and fluoxetine: anxiety, sleep disturbance and core symptoms of depression"
149,CD003738,Posterior capsule opacification after implantation of a hydrophilic or a hydrophobic acrylic intraocular lens. One-year follow-up
150,CD008635,Does routine newborn bathing reduce staphylococcus aureus colonization rates? A randomized controlled trial
151,CD002806,Comparison of intravenous albumin and transfer of fresh embryos with cryopreservation of all embryos for subsequent transfer in prevention of ovarian hyperstimulation syndrome
152,CD001950,A double-blind comparision of clonazepam and placebo in the treatment of neuroleptic-induced akathisia
153,CD006903,Personal contact from friends to increase mammography usage
154,CD004472,Preoperative intraaortic balloon pump enhances cardiac performance and improves the outcome of redo CABG
155,CD002192,"Preoperative oral Passiflora incarnata reduces anxiety in ambulatory surgery patients: a double-blind, placebo-controlled study"
156,CD001888,Perioperative autotransfusion and functional coagulation analysis in total hip replacement
157,CD004060,Failure of Nd-YAG photocoagulation therapy as treatment for Barrett's oesophagus - a pilot study
158,CD006605,Titration with oxymorphone extended release to achieve effective long term pain relief and improve tolerability in opioid-naieve patients with moderate to severe pain
159,CD003543,Effect of a selective restriction policy on antibiotic expenditure and use: an institutional model
160,CD003554,Report of a prospective trial of dextranomer beads (Debrisan) and silicone foam elastomer (Silastic) dressing in surgical wounds
161,CD006529,Associations between baseline plasma MHPG (3-methoxy-4-hydroxyphenylglycol) levels and clinical responses with respect to milnacipran versus paroxetine treatment
162,CD001902,Randomized prospective study of early discontinuation of antiepileptic drugs in children with epilepsy
163,CD004913,Vaccination success rate and reaction profile with diluted and undiluted smallpox vaccine
164,CD007869,Randomized trial of adjuvant 13-cis-retinoic acid and interferon alfa for patients with aggressive skin squamous cell carcinoma
165,CD006158,"Erythropoietin to treat head and neck cancer patients with anaemia undergoing radiotherapy: randomised, double-blind, placebo-controlled trial"
166,CD004848,Intelligence of children of epileptic mothers
167,CD004501,Ticarcillin plus clavulanic acid (Timentin) compared with standard antibiotic regimes in the treatment of early and late neonatal infections
168,CD000127,Magnesium sulphate vs diazepam in the management of eclampsia
169,CD003650,Micronutrient supplements and mortality of HIV-infected adults with pulmonary TB: A controlled clinical trial
170,CD009153,Combined antiretroviral treatment and heterosexual transmission of HIV-1: cross sectional and prospective cohort study.
171,CD005260,Does increased prosthetic weight affect gait speed and patient preference in dysvascular transfemoral amputees?
172,CD004481,A controlled trial of colchicine in primary biliary cirrhosis (PBC) (EASL abstract)
173,CD003296,Enhancement of regression of cervical intraepithelial neoplasia II (moderate dysplasia) with topically applied all-trans-retinoic acid: a randomized trial
174,CD004364,Treatment of agoraphobia with group exposure in vivo and imipramine
175,CD003902,Dose response relation to oral theophylline in severe chronic obstructive airways disease
176,CD001816,"Enteral human IgG for prevention of necrotising enterocolitis: a placebo-controlled, randomised trial"
177,CD006504,Donepezil for cognitive impairment in Parkinson's disease: a randomized control trial
178,CD007104,"Adjuvant procarbazine, lomustine, and vincristine improves progression-free survival but not overall survival in newly diagnosed anaplastic oligodendrogliomas and oligoastrocytomas: a randomized European Organisation for Research and Treatment of Cancer phase III trial"
179,CD000305,The thromboprophylactic effect of low molecular weight heparin (Fragmin) in hip fracture surgery. A placebo controlled trial
180,CD006419,"Albendazole treatment of HIV-1 and helminth co-infection: a randomized, double-blind, placebo-controlled trial"
181,CD004334,Interventions in preschools to increase the use of safety restraints by preschool children
182,CD007963,"A randomized, placebo-controlled study of oxcarbazepine in painful diabetic neuropathy"
183,CD007571,Treatment of ulcerative colitis with a humanized antibody to the alpha4beta7 integrin
184,CD001273,Serum-zinc and healing of venous ulcers
185,CD004181,A trial of the reactogenicity and immunogenicity of an inactivated hepatitis A vaccine
186,CD001157,Controlled trial of cyclophosphamide in rheumatoid arthritis
187,CD002258,The Sydney multicentre study of Parkinson's disease: The first 18 months
188,CD005121,"A multicentre, double blind, randomised, placebo controlled trial of anakinra (Kineret), a recombinant interleukin 1 receptor antagonist, in patients with rheumatoid arthritis treated with background methotrexate"
189,CD000432,Does caffeine prevent hypoxaemic episodes in premature infants? A randomized controlled trial
190,CD006181,"A randomized, controlled trial of very early prophylactic ligation of the ductus arteriosus in babies who weighed 1000 g or less at birth"
191,CD005246,Five year follow-up of a prospective trial of radical cystectomy and neoadjuvant chemotherapy: Nordic Cystectomy Trial 1
192,CD001076,Oxygen administration and retrolental fibroplasia
193,CD008510,The fetus protection effects of Zhi Xue Bao Tai decoction on women of early threatened miscarriage with dark area surrounding pregnancy sac
194,CD008145,Maximizing immunization coverage through home visits: a controlled trial in an urban area of Ghana
195,CD004305,A randomized controlled trial to assess the effects of reimbursing the costs of smoking cessation therapy on sustained abstinence
196,CD000561,Pharmacologic treatment of major depression for elderly patients in residential care settings
197,CD004168,Evaluation of a program to motivate impaired driving offenders to install ignition interlocks
198,CD008440,"Antiretroviral therapy in pregnant women with advanced HIV disease and pregnancy outcomes in Abidjan, Cote d'Ivoire"
199,CD006490,24-hour ambulatory blood pressure monitoring: a comparison between transdermal glyceryl-trinitrate and oral nifedipine
200,CD003533,Trial of nurse-run asthma clinics based in general practice versus usual medical care
201,CD000381,Evaluation of a culturally tailored skills intervention for Latinos with persistent psychotic disorders
202,CD006775,Lacrimal punctum occlusion in the treatment of severe keratoconjunctivitis Sicca caused by Sjogren syndrome: a uniocular evaluation
203,CD004795,Substitution of moxifloxacin for isoniazid during intensive phase treatment of pulmonary tuberculosis
204,CD002031,"The diaphragm with and without spermicide. A randomized, comparative efficacy trial"
205,CD005483,Resistance exercise and supraphysiologic androgen therapy in eugonadal men with HIV-related weight loss: a randomized controlled trial
206,CD001350,"A prospective, randomized study comparing the results of open discectomy with those of video-assisted arthroscopic microdiscectomy"
207,CD006386,Randomized study of cisplatin-based combination chemotherapy for the treatment of planocellular cancer of the head and neck region
208,CD007006,Reproductive health counseling for young men: what does it do?
209,CD007675,Effects of Internet behavioral counseling on weight loss in adults at risk for type 2 diabetes: a randomized trial
210,CD007612,How many days of bed rest for acute low back pain? A randomized clinical trial
211,CD000211,Controlled trial of intravenous aminophylline in acute cerebral infarction
212,CD003335,"Artichoke leaf extract (Cynara scolymus) reduces plasma cholesterol in otherwise healthy hypercholesterolemic adults: a randomized, double blind placebo controlled trial"
213,CD001100,Low-molecular-weight heparin vs heparin in the treatment of patients with pulmonary embolism. American-Canadian Thrombosis Study Group
214,CD005313,Long term outcome and cost-effectiveness of stenting versus balloon angioplasty for acute myocardial infarction
215,CD008207,"Effectiveness of prolonged use of continuous passive motion (CPM), as an adjunct to physiotherapy, after total knee arthroplasty"
216,CD005102,Impaired Glucose Tolerance and its Relationship to ECG-Indicated Coronary Heart Disease and Risk Factors among Chinese
217,CD000988,Clinical and hemorheological effects of buflomedil in diabetic subjects with intermittent claudication
218,CD004787,A randomized trial of hepatic arterial chemoembolization in patients with unresectable hepatocellular carcinoma
219,CD006590,VACURG randomized trial of radical prostatectomy for stages I and II prostatic cancer. Veterans Administration Cooperative Urological Research Group
220,CD003852,Ginkgo biloba does not benefit patients with tinnitus: a randomized placebo-controlled double-blind trial and meta-analysis of randomized trials
221,CD006767,Percutaneous transluminal angioplasty with or without stenting for femoropopliteal occlusions? A randomized controlled study
222,CD000014,Amniotic fluid index changes after amnioinfusion
223,CD002853,Propentofylline treatment for Alzheimer's disease and vascular dementia: an economic evaluation based on functional abilities
224,CD001402,Attitudes of parents of cystic fibrosis children towards neonatal screening and antenatal diagnosis
225,CD005028,Once daily treatment of psoriasis with tacalcitol compared with twice daily treatment with calcipotriol. A double-blind trial
226,CD000029,"Abciximab in acute ischemic stroke. A randomized, double-blind, placebo-controlled, dose escalation study"
227,CD002966,Double-blind evaluation of efficacy and tolerability of metformin in NIDDM
228,CD010243,Sexual prevention of HIV within the couple after prenatal HIV-testing in West Africa
229,CD003334,"Randomized comparison of angioplasty of complex coronary lesions at a single center. Excimer Laser, Rotational Atherectomy, and Balloon Angioplasty Comparison (ERBAC) Study"
230,CD002210,Follow-up study of subjects on methadyl acetate and methadone
231,CD003743,"Early discharge of preterm infants needing limited special care, followed by domiciliary nursing care"
232,CD002124,Analgesic effect of a herbal medicine for treatment of primary dysmenorrhea--a double-blind study
233,CD004025,A pilot randomised controlled trial to examine the effects of individual music therapy among inpatients with schizophrenia and schizophrenia like illness
234,CD005489,Early enteral nutrition does not decrease hypermetabolism associated with burn injury
235,CD003440,Psychosocial predictors of outcome in a worksite smoking cessation program
236,CD005465,Combined calcium and vitamin D3 supplementation in elderly women: Confirmation of reversal of secondary hyperparathyroidism and hip fracture risk: The Decalyos II study
237,CD006006,Postoperative intravenous infusion of alprostadil (PGE1) does not improve renal function in hepatic transplant recipients
238,CD006806,Tight glycemic control in diabetic coronary artery bypass graft patients improves perioperative outcomes and decreases recurrent ischemic events
239,CD006391,Efficacy of lorazepam and haloperidol for rapid tranquilization in a psychiatric emergency room setting
240,CD005081,ACTH for ocular myasthenia
241,CD000547,Pre-operative gonadotropin-releasing hormone agonist treatment in surgery for uterine leiomyomata
242,CD004688,Professional and non-professional intervention for highly anxious primiparous mothers
243,CD001177,EMLA cream as a topical anesthetic for the repeated mechanical debridement of venous leg ulcers: a double blind controlled study
244,CD004327,Double-blind controlled study of botulinum toxin in adductor spasmodic dysphonia
245,CD006097,A randomized placebo-controlled trial of humanized monoclonal antibody to alpha4 integrin in active Crohn's disease
246,CD003686,"Analgesic efficacy of a lecithin-vehiculated diclofenac epolamine gel in shoulder periarthritis and lateral epicondylitis: a placebo-controlled, multicenter, randomized, double-blind clinical trial"
247,CD000386,"Comparative efficacy of aminoquinoline-antifolate combinations for the treatment of uncomplicated falciparum malaria in Kampala, Uganda"
248,CD004606,Modification of anger in children by affective imagery training
249,CD000102,A randomised trial of mode of delivery in women infected with the human immunodeficiency virus
250,CD004312,"Botulinum toxin versus trihexyphenidyl in cervical dystonia: a prospective, randomized, double-blind controlled trial"
251,CD007887,Synacthen Depot® for the treatment of postdural puncture headache
252,CD000935,Recognizing the onset of labour
253,CD004568,Comparative acceptability of combined and progestin-only injectable contraceptives in Kenya
254,CD004075,Fetal pulse oximetry and cesarean delivery
255,CD000459,The effects of a 50% reduction of cis(z)-flupenthixol decanoate in chronic schizophrenic patients maintained on a high dose regime
256,CD001869,Reactivation of Herpes Simplex Virus Type 1 and Varicella-Zoster Virus and Therapeutic Effects of Combination Therapy with Prednisolone and Valacyclovir in Patients with Bells Palsy
257,CD000353,Individualised homeoapthy as an adjunct in the treatment of childhood asthma: a randomised placebo controlled trial
258,CD003038,Comparison of imipenem versus cefuroxime plus tobramycin as empirical therapy for febrile granulocytopenic patients and efficacy of vancomycin and aztreonam in case of failure
259,CD002788,Intubation requirements after rocuronium and succinylcholine
260,CD006033,Effects of an oral contraceptive containing drospirenone on bone turnover and bone mineral density
261,CD002079,Treatment of T3 bladder cancer: controlled trial of pre-operative radiotherapy and radical cystectomy versus radical radiotherapy
262,CD003698,A randomized controlled trial of a smoking cessation intervention based in community pharmacies
263,CD000514,A randomised trial of tenecteplase versus alteplase for acute ischemic stroke
264,CD003109,Cost-Effectiveness and Benefit of Alternatives to Improve Training for Prehospital TraumaCare in Mexico
265,CD005364,Comparison of tetracaine-adrenaline-cocaine (TAC) with topical lidocaine-epinephrine (TLE): efficacy and cost
266,CD003882,Integrated health research program for the Thai elderly: Prevalence of genital prolapse and effectiveness of pelvic floor exercises to prevent worsening of genital prolapse in elderly women
267,CD002942,Effects of information on and reflection of women's pain experience of mammography
268,CD000551,Ursodeoxycholic acid therapy effects on pruritus and fatigue in primary biliary cirrhosis
269,CD001087,Cost and cost-effectiveness of hospital vs residential crisis care for patients who have serious mental illness
270,CD007854,Randomised controlled study on superficial needling for treatment of primary dysmenorrhea
271,CD004604,"Comparison of rofecoxib and oxycodone plus acetaminophen in the treatment of acute pain: a randomized, double-blind, placebo-controlled study in patients with moderate to severe postoperative pain in the third molar extraction model"
272,CD006329,Differential effects of abrupt versus gradual withdrawal of chlorpromazine in hospitalized chronic schizophrenic patients
273,CD007274,Propofol infusion versus intermittent meperidine and midazolam injection for conscious sedation in ERCP
274,CD009601,Ultrasound and laser therapy in the treatment of carpal tunnel syndrome
275,CD005975,Efficacy and acceptability of different modes of oxygen administration in children: implications for a community hospital
276,CD009586,Screening versus routine practice in detection of atrial fibrillation in patients aged 65 or over: cluster randomised controlled trial
277,CD002761,A placebo-controlled crossover trial of nimodipine in pediatric migraine
278,CD000994,The Effect of a Respiratory Nurse Home Intervention in Patients with Chronic Obstructive Pulmonary Disease
279,CD000273,The effect of caffeine compared with theophylline in the treatment of idiopathic apnea in premature infants
280,CD003540,"The ""five minute"" consultation: effect of time constraint on clinical content and patient satisfaction"
281,CD004635,Increased pregnancy rates after ultralong postoperative therapy with gonadotropin-releasing hormone analogs in patients with endometriosis
282,CD006893,An engineered human antibody to TNF (CDP571) for active Crohn's disease: a randomized double-blind placebo-controlled trial
283,CD003010,
284,CD006971,Induction of labor by prostaglandin E2 in relation to Bishop score
285,CD004143,Estrogen replacement therapy II: a prospective study in the relationship to carcinoma and cardiovascular and metabolic problems
286,CD005592,"Clinical efficacy and safety of huperzine A in treatment of mild to moderate Alzheimer disease, a placebo-controlled, double-blind, randomized trial"
287,CD000518,Balneotherapy for rheumatoid arthritis at the Dead Sea
288,CD010116,Cluster randomized pilot controlled trial of an occupational therapy intervention for residents with stroke in UK care homes
289,CD009849,Use of depot medroxyprogesterone acetate and fracture risk
290,CD003868,"Immediate- or sustained-release morphine for dose finding during start of morphine to cancer patients: a randomized, double-blind trial"
291,CD000133,Immune response of the atopic woman and fetus: effects of high- and low-dose food allergen intake during late pregnancy
292,CD001507,Randomised controlled trial of tyrosine supplementation on neuropsychological performance in phenylketonuria
293,CD007543,Intensive blood-glucose control with sulphonylureas or insulin compared with conventional treatment and risk of complications in patients with type 2 diabetes (UKPDS 33)
294,CD000505,"Umbilical artery catheters: High, low, or no"
295,CD006757,Cataract surgery in high-risk age-related macular degeneration: a randomized controlled trial
296,CD000255,Spontaneous dissection of the internal carotid artery: a nineteen-year clinical experience
